date,volume
10/06/2020,0
11/06/2020,164
12/06/2020,53
13/06/2020,0
14/06/2020,0
15/06/2020,122
16/06/2020,167
17/06/2020,0
18/06/2020,103
19/06/2020,0
20/06/2020,0
21/06/2020,105
22/06/2020,57
23/06/2020,58
24/06/2020,66
25/06/2020,153
26/06/2020,0
27/06/2020,0
28/06/2020,144
29/06/2020,63
30/06/2020,42
01/07/2020,0
02/07/2020,139
03/07/2020,0
04/07/2020,99
05/07/2020,130
06/07/2020,75
07/07/2020,0
08/07/2020,114
09/07/2020,124
10/07/2020,70
11/07/2020,0
12/07/2020,120
13/07/2020,108
14/07/2020,0
15/07/2020,0
16/07/2020,170
17/07/2020,0
18/07/2020,0
19/07/2020,0
20/07/2020,85
21/07/2020,0
22/07/2020,0
23/07/2020,0
24/07/2020,0
25/07/2020,50
26/07/2020,64
27/07/2020,51
28/07/2020,96
29/07/2020,139
30/07/2020,0
31/07/2020,0
01/08/2020,97
02/08/2020,88
03/08/2020,63
04/08/2020,105
05/08/2020,0
06/08/2020,108
07/08/2020,119
08/08/2020,129
09/08/2020,0
10/08/2020,0
11/08/2020,83
12/08/2020,231
13/08/2020,148
14/08/2020,0
15/08/2020,78
16/08/2020,120
17/08/2020,0
18/08/2020,106
19/08/2020,210
20/08/2020,0
21/08/2020,0
22/08/2020,60
23/08/2020,0
24/08/2020,0
25/08/2020,67
26/08/2020,0
27/08/2020,52
28/08/2020,91
29/08/2020,84
30/08/2020,0
31/08/2020,79
01/09/2020,32
02/09/2020,184
03/09/2020,130
04/09/2020,0
05/09/2020,122
06/09/2020,180
07/09/2020,0
08/09/2020,0
09/09/2020,147
10/09/2020,91
11/09/2020,236
12/09/2020,134
13/09/2020,0
14/09/2020,0
15/09/2020,130
16/09/2020,75
17/09/2020,132
18/09/2020,45
19/09/2020,69
20/09/2020,131
21/09/2020,0
22/09/2020,0
23/09/2020,202
24/09/2020,219
25/09/2020,0
26/09/2020,135
27/09/2020,129
28/09/2020,0
29/09/2020,144
30/09/2020,63
01/10/2020,63
02/10/2020,0
03/10/2020,126
04/10/2020,108
05/10/2020,0
06/10/2020,0
07/10/2020,61
08/10/2020,169
09/10/2020,120
10/10/2020,108
11/10/2020,108
